"","Year","M"
"1",1982,0.2
"2",1983,0.2
"3",1984,0.2
"4",1985,0.2
"5",1986,0.2
"6",1987,0.2
"7",1988,0.2
"8",1989,0.213
"9",1990,0.227
"10",1991,0.24
"11",1992,0.253
"12",1993,0.267
"13",1994,0.28
"14",1995,0.293
"15",1996,0.307
"16",1997,0.32
"17",1998,0.333
"18",1999,0.347
"19",2000,0.36
"20",2001,0.373
"21",2002,0.387
"22",2003,0.4
"23",2004,0.4
"24",2005,0.4
"25",2006,0.4
"26",2007,0.4
"27",2008,0.4
"28",2009,0.4
"29",2010,0.4
"30",2011,0.4
"31",2012,0.4
"32",2013,0.4
"33",2014,0.4
