Year,migrants in million,length,11.76,1.275510204
1982,15.24234694,11.95,,
1983,6.74744898,5.29,,
1984,3.826530612,3,,
1985,1.390306122,1.09,,
1986,2.844387755,2.23,,
1987,1.390306122,1.09,,
1988,-2.448979592,-1.92,,
1989,-1.645408163,-1.29,,
1990,1.096938776,0.86,,
1991,3.112244898,2.44,,
1992,1.81122449,1.42,,
1993,-0.102040816,-0.08,,
1994,-0.344387755,-0.27,,
1995,-0.395408163,-0.31,,
1996,-0.255102041,-0.2,,
1997,-0.395408163,-0.31,,
1998,-0.969387755,-0.76,,
1999,-2.040816327,-1.6,,
2000,-2.576530612,-2.02,,
2001,-1.913265306,-1.5,,
2002,-2.040816327,-1.6,,
2003,-1.760204082,-1.38,,
2004,-2.37244898,-1.86,,
2005,-2.704081633,-2.12,,
2006,-3.571428571,-2.8,,
2007,-3.635204082,-2.85,,
2008,-2.704081633,-2.12,,
2009,-1.173469388,-0.92,,
2010,0.229591837,0.18,,
2011,1.390306122,1.09,,
2012,0,0,,
2013,0,0,,
